number,formid,intv_barcode,hh_barcode,hhid_census,check_census_info,ward_number,ask_hh_head,info_sheet,hh_head_consent,caste,home_language,main_source,hh_living_away,hh_remittances,hh_remittances_responsible,own_land,drinking_source,collect_water_time,toilet_type,share_toilet,room_number,electricty,hh_assets_1,hh_assets_2,hh_assets_3,hh_assets_4,hh_assets_5,hh_assets_6,hh_assets_7,hh_assets_8,hh_assets_9,hh_assets_10,hh_assets_11,hh_assets_12,hh_assets_13,hh_assets_14,hh_assets_15,hh_assets_16,hh_assets_17,transport_access_1,transport_access_2,transport_access_3,transport_access_4,transport_access_5,transport_access_6,transport_access_7,transport_access_8,walls_material,roof_material,floor_material,interview_language,today_text,date,hh_id,hh_income,hh_size,hh_survey_status,total_participants,sample_adult_f,sample_adult_m,sample_adolescent_f,sample_underfive,hh_income_census,hhcount,hhid_reg_new,village_name,hh_reg_complete,completed_time,started_time,username,received_on,hq_user,mergecase_id,regdate
138,decb98e3-1e78-4a6d-9ae3-be923d4f2571,JMPNA08,RIN127_Rini,I1027,Yes all correct,7,Yes,Yes,Yes,Matwali Chhetri,Nepali,Combination of own production and purchase,No,NA,NA,Yes,Tap in yard/plot,10,Pan Toilet,No,3,"Yes, electricity available",NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,Stones and mud,Flat roof made of mud,Mud,Nepali,24 Ashwin 2078,44479,I1027,Selling own crop production,4,survey,3,1,1,1,0,Selling own crop production,201724,T201724,Rini,1,44479.4884,44479.48462,jmpna08,44481.2562,jmpna08,bccfff0a-5b20-4a1c-a21c-23860b799f46,44479
139,e9c4a823-41ce-479a-983b-c5fcae4936b3,JMPNA08,RIN126_Rini,I1126,Yes all correct,7,Yes,Yes,Yes,Matwali Chhetri,Nepali,Combination of own production and purchase,Yes - working,Yes,Mother,Yes,Tap in yard/plot,10,Pan Toilet,No,9,"Yes, electricity available",NA,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,Stones and mud,Metal sheets,Wooden planks,Nepali,24 Ashwin 2078,44479,I1126,Selling own crop production,10,survey,5,1,1,2,1,Selling own crop production,201788,T201788,Rini,1,44479.55215,44479.54858,jmpna08,44481.25624,jmpna08,fb91b906-9b10-439a-9e09-388212e8424c,44479
140,eca6a979-2a7f-45d6-972e-6266fdb694d2,JMPNA06,PAT117_Patmara,J1107,Yes all correct,7,Yes,Yes,Yes,Matwali Chhetri,Nepali,Purchase,No,NA,NA,Yes,Tap in yard/plot,10,Pan Toilet,No,4,"Yes, electricity available",NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,Stones and mud,Flat roof made of mud,Mud,Nepali,23 Ashwin 2078,44478,J1107,Selling own crop production,5,survey,4,1,1,2,0,Selling own crop production,200789,R200789,Patmara,1,44478.55461,44478.55012,jmpna06,44483.28377,jmpna06,cc77e75d-2d13-4b53-861a-975190017752,44478
141,505f0eb9-567d-476f-899f-5b972174204e,JMPNA06,PAT103_Patmara,J1022,Yes all correct,7,Yes,Yes,Yes,Matwali Chhetri,Nepali,Purchase,No,NA,NA,Yes,Tap in yard/plot,10,Pan Toilet,No,10,"Yes, electricity available",1,1,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,Stones and mud,Metal sheets,Mud,Nepali,23 Ashwin 2078,44478,J1022,Office job,5,survey,3,1,1,0,1,Office job,200830,R200830,Patmara,1,44478.59451,44478.59094,jmpna06,44483.2838,jmpna06,db8fdc94-917c-4691-ac16-4510f66ac461,44478
142,0b163cdf-f749-4638-b955-c58609be1020,JMPNA06,PAT118_Patmara,J1111,Yes all correct,7,Yes,Yes,Yes,Matwali Chhetri,Nepali,Purchase,No,NA,NA,Yes,Tap in yard/plot,15,Pan Toilet,Yes,2,"Yes, electricity available",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,Stones and mud,Flat roof made of mud,Mud,Nepali,23 Ashwin 2078,44478,J1111,Selling own livestock (meat & poultry),5,survey,3,1,1,0,1,Selling own livestock (meat & poultry),200864,R200864,Patmara,1,44478.62938,44478.62507,jmpna06,44483.29374,jmpna06,f144a57e-d57a-4595-8897-b6574bd922fe,44478
143,2e805cbc-d976-4548-8d12-5f1468e60553,JMPNA06,PAT102_Patmara,J1008,Yes partially correct,7,Yes,Yes,Yes,Matwali Chhetri,Nepali,Purchase,No,NA,NA,Yes,Tap in yard/plot,6,Pan Toilet,No,3,"Yes, electricity available",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,Stones and mud,Flat roof made of mud,Mud,Nepali,24 Ashwin 2078,44479,J1008,Selling own livestock (meat & poultry),9,survey,5,1,1,2,1,Selling own livestock (meat & poultry),201380,R201380,Patmara,1,44479.14458,44479.14075,jmpna06,44483.29376,jmpna06,03445407-da7c-4690-85d2-2642c8522aec,44479
144,085e2e18-3c21-4d02-ae68-963586b08712,JMPNA06,PAT114_Patmara,J1057,Yes all correct,7,Yes,Yes,Yes,Matwali Chhetri,Nepali,Combination of own production and purchase,No,NA,NA,Yes,Tap in yard/plot,5,Pan Toilet,No,4,"Yes, electricity available",1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,Stones and mud,Flat roof made of mud,Mud,Nepali,25 Ashwin 2078,44480,J1057,Office job,8,survey,4,1,1,0,2,Office job,202765,R202765,Patmara,1,44480.53053,44480.52598,jmpna06,44483.29378,jmpna06,901c785a-cf75-4d19-b115-3dcd2eef5aa5,44480
145,e339da3e-19a3-4132-a2bd-a3627096c411,JMPNA06,PAT115_Patmara,J1065,Yes all correct,7,Yes,Yes,Yes,Matwali Chhetri,Nepali,Purchase,No,NA,NA,Yes,Tap in yard/plot,15,Pan Toilet,No,4,"Yes, electricity available",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,Stones and mud,Flat roof made of mud,Mud,Nepali,25 Ashwin 2078,44480,J1065,Selling own crop production,4,survey,3,1,1,0,1,Selling own crop production,202794,R202794,Patmara,1,44480.56096,44480.55509,jmpna06,44483.2938,jmpna06,2544b039-312a-4523-8bf0-fe0a2d45516d,44480
146,9d3fae69-c87b-4803-8f87-69ef481a16bf,JMPNA06,PAT108_Patmara,J1103,Yes all correct,7,Yes,Yes,Yes,Matwali Chhetri,Nepali,Purchase,No,NA,NA,Yes,Tap in yard/plot,5,Pan Toilet,No,2,"Yes, electricity available",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,Stones and mud,Metal sheets,Wooden planks,Nepali,25 Ashwin 2078,44480,J1103,Selling own crop production,7,survey,3,1,1,0,1,Selling own crop production,202826,R202826,Patmara,1,44480.59166,44480.58715,jmpna06,44483.29383,jmpna06,3543c5c1-d25d-41ae-823f-98094c21f44a,44480
147,31422aec-b01d-4597-8baa-c52ea39eb23d,JMPNA06,PAT122_Patmara,J1015,Yes all correct,7,Yes,Yes,Yes,Matwali Chhetri,Nepali,Combination of own production and purchase,No,NA,NA,Yes,Tap in yard/plot,5,Pan Toilet,No,4,"Yes, electricity available",NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,Stones and mud,Flat roof made of mud,Mud,Nepali,26 Ashwin 2078,44481,J1015,Office job,4,reserve,3,1,1,0,1,Office job,203538,R203538,Patmara,1,44481.31142,44481.29882,jmpna06,44483.29384,jmpna06,7bbf2556-77f1-400e-b13b-a2ea6d6b8a01,44481
